name	title	album	artist	album_artist	composer	genre	date	track	disc	comment	description
fieldatlas	Field Atlas	Convolutions 10	babymastodon	babymastodon	babymastodon	Experimental	2026	1/14	1/1	Themes: water, animals, transport, public space, machinery, and collective sound. Tuning: 13-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 60/48/48/60/48/48/48/48/60/48/36/24 pairs.	Themes: water, animals, transport, public space, machinery, and collective sound. Tuning: 13-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 60/48/48/60/48/48/48/48/60/48/36/24 pairs.
melodyworks	Melody Works	Convolutions 10	babymastodon	babymastodon	babymastodon	Experimental	2026	2/14	1/1	Themes: instrumental gestures convolved with vehicles, tools, alarms, crowds, weather, and physical processes. Tuning: 19-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 48/60/36/48/32/60/48/48/48/32/60/56 pairs.	Themes: instrumental gestures convolved with vehicles, tools, alarms, crowds, weather, and physical processes. Tuning: 19-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 48/60/36/48/32/60/48/48/48/32/60/56 pairs.
drift	Drift	Convolutions 10	babymastodon	babymastodon	babymastodon	Experimental	2026	3/14	1/1	Themes: calm water, weather, vegetation, and spacious natural environments. Tuning: 14-tone octave-repeating ratio scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 72/48/36/72/32/48/48/36/72/32/48/32 pairs.	Themes: calm water, weather, vegetation, and spacious natural environments. Tuning: 14-tone octave-repeating ratio scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 72/48/36/72/32/48/48/36/72/32/48/32 pairs.
menagerie	Menagerie	Convolutions 10	babymastodon	babymastodon	babymastodon	Experimental	2026	4/14	1/1	Themes: birds, insects, farm animals, wildlife, and underwater voices. Tuning: 17-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 60/48/36/60/32/48/48/48/60/48/48/40 pairs.	Themes: birds, insects, farm animals, wildlife, and underwater voices. Tuning: 17-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 60/48/36/60/32/48/48/48/60/48/48/40 pairs.
passage	Passage	Convolutions 10	babymastodon	babymastodon	babymastodon	Experimental	2026	5/14	1/1	Themes: rail, road, air, water, and human-powered motion. Tuning: 22-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 36/60/36/36/64/48/48/60/36/64/48/40 pairs.	Themes: rail, road, air, water, and human-powered motion. Tuning: 22-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 36/60/36/36/64/48/48/60/36/64/48/40 pairs.
foundry	Foundry	Convolutions 10	babymastodon	babymastodon	babymastodon	Experimental	2026	6/14	1/1	Themes: factories, workshops, tools, engines, and heavy mechanical processes. Tuning: 13 equal divisions of a 3:1 tritave, a non-octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 36/48/60/36/64/48/64/60/36/64/36/24 pairs.	Themes: factories, workshops, tools, engines, and heavy mechanical processes. Tuning: 13 equal divisions of a 3:1 tritave, a non-octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 36/48/60/36/64/48/64/60/36/64/36/24 pairs.
commons	Commons	Convolutions 10	babymastodon	babymastodon	babymastodon	Experimental	2026	7/14	1/1	Themes: markets, gatherings, institutions, celebrations, and shared public rooms. Tuning: 15-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 48/48/60/48/32/48/32/60/48/32/48/72 pairs.	Themes: markets, gatherings, institutions, celebrations, and shared public rooms. Tuning: 15-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 48/48/60/48/32/48/32/60/48/32/48/72 pairs.
sonora	Sonora	Convolutions 10	babymastodon	babymastodon	babymastodon	Experimental	2026	8/14	1/1	Themes: acoustic instruments, voices, tuned percussion, and improvisation. Tuning: 31-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 48/60/36/48/48/60/32/48/48/48/60/40 pairs.	Themes: acoustic instruments, voices, tuned percussion, and improvisation. Tuning: 31-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 48/60/36/48/48/60/32/48/48/48/60/40 pairs.
signals	Signals	Convolutions 10	babymastodon	babymastodon	babymastodon	Experimental	2026	9/14	1/1	Themes: radio, electrical systems, alarms, computers, machines, and synthetic tones. Tuning: 11-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 36/36/60/48/64/36/64/60/48/64/36/24 pairs.	Themes: radio, electrical systems, alarms, computers, machines, and synthetic tones. Tuning: 11-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 36/36/60/48/64/36/64/60/48/64/36/24 pairs.
tempest	Tempest	Convolutions 10	babymastodon	babymastodon	babymastodon	Experimental	2026	10/14	1/1	Themes: storms, fire, ice, impacts, explosions, and extreme natural force. Tuning: 7-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-B-D-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 36/48/64/36/64/48/64/48/36/64/36/32 pairs.	Themes: storms, fire, ice, impacts, explosions, and extreme natural force. Tuning: 7-EDO octave scale. Harmony: 16 chord shapes in main, neighbor, contrast, and transition palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-B-D-A-C-A-prime-D-B-A-C-A-prime-coda; scene spans 36/48/64/36/64/48/64/48/36/64/36/32 pairs.
wildwire	Wildwire	Convolutions 10	babymastodon	babymastodon	babymastodon	Experimental	2026	11/14	1/1	Themes: animal communication crossed with electronic signaling and machine language. Tunings: 16-EDO primary octave scale with 17-EDO and 11-EDO parent scenes. Harmony: 20 chord shapes across five palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-E-A-prime-coda; scene spans 36/48/60/36/48/48/48/60/36/60/48/48 pairs.	Themes: animal communication crossed with electronic signaling and machine language. Tunings: 16-EDO primary octave scale with 17-EDO and 11-EDO parent scenes. Harmony: 20 chord shapes across five palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-E-A-prime-coda; scene spans 36/48/60/36/48/48/48/60/36/60/48/48 pairs.
tideforge	Tideforge	Convolutions 10	babymastodon	babymastodon	babymastodon	Experimental	2026	12/14	1/1	Themes: calm environmental flow crossed with sharp industrial force. Tunings: 24-EDO primary octave scale using non-12-grid degrees, with a 14-tone ratio scale and 13 equal divisions of a 3:1 tritave in parent scenes. Harmony: 20 chord shapes across five palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-E-A-prime-coda; scene spans 60/48/36/60/64/48/48/36/60/60/24/32 pairs.	Themes: calm environmental flow crossed with sharp industrial force. Tunings: 24-EDO primary octave scale using non-12-grid degrees, with a 14-tone ratio scale and 13 equal divisions of a 3:1 tritave in parent scenes. Harmony: 20 chord shapes across five palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-E-A-prime-coda; scene spans 60/48/36/60/64/48/48/36/60/60/24/32 pairs.
stormfolk	Stormfolk	Convolutions 10	babymastodon	babymastodon	babymastodon	Experimental	2026	13/14	1/1	Themes: extreme weather and impacts crossed with crowds, rituals, and public life. Tunings: 9-EDO primary octave scale with 7-EDO and 15-EDO parent scenes. Harmony: 20 chord shapes across five palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-E-A-prime-coda; scene spans 36/48/60/36/64/48/64/60/36/48/36/40 pairs.	Themes: extreme weather and impacts crossed with crowds, rituals, and public life. Tunings: 9-EDO primary octave scale with 7-EDO and 15-EDO parent scenes. Harmony: 20 chord shapes across five palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-E-A-prime-coda; scene spans 36/48/60/36/64/48/64/60/36/48/36/40 pairs.
railchime	Railchime	Convolutions 10	babymastodon	babymastodon	babymastodon	Experimental	2026	14/14	1/1	Themes: transport rhythms crossed with melodic instruments and tuned percussion. Tunings: 14-EDO primary octave scale with 22-EDO and 31-EDO parent scenes. Harmony: 20 chord shapes across five palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-E-A-prime-coda; scene spans 36/60/36/48/64/60/32/36/48/60/48/48 pairs.	Themes: transport rhythms crossed with melodic instruments and tuned percussion. Tunings: 14-EDO primary octave scale with 22-EDO and 31-EDO parent scenes. Harmony: 20 chord shapes across five palettes, with filename-seeded roots, voicings, and inversions. Main motif: anchor-response-anchor-cadence. Form: A-A-prime-B-A-C-A-prime-D-B-A-E-A-prime-coda; scene spans 36/60/36/48/64/60/32/36/48/60/48/48 pairs.
